,delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
13,31.623730286033844,49.81293780865077,40.78831122334439,124.06484272636872,0.3287660736676632,0.40150728211146586,0.25489679099325163,1.221255215394682,0.7753135478660029,2.024311134120099
14,31.92208633528275,50.55599666904574,40.20924618906918,126.1814228004923,0.3186621714722993,0.40066117140698854,0.25298562678085607,1.2573226673120101,0.7938991490957301,2.0173925354306457
15,31.300008352763577,53.19073077625866,39.087396073844275,127.57121480779085,0.3063966752432084,0.4169493161635259,0.24535322015960034,1.3608154064745126,0.8007698515816021,1.9725074321712086
16,32.62225345979452,54.06947996985042,39.59340529384756,126.5874473831972,0.31277512985938494,0.4271314501364013,0.2577052791106734,1.3656183288243788,0.8239314910572673,1.9169169435504432
17,32.07866559117439,49.97379841093836,39.4098449920893,123.1585104453834,0.31999286813042627,0.4057681294635342,0.2604664953738636,1.2680536658027848,0.8139759392003068,1.981273291601417
18,34.46918463252772,48.66197275661356,40.90709505012456,118.23891627840243,0.3459698070456408,0.4115563157060344,0.29152148647377174,1.1895729260898809,0.8426211783137303,1.9143966754072268
19,34.60633009437286,48.11649115290732,39.912052237770844,119.4167532736681,0.33422489846382064,0.4029291521821772,0.28979459871150004,1.2055629428990422,0.8670646622782051,1.926056233444498
20,34.94782855744336,46.55752433302973,41.312526636693015,118.92063696078101,0.3473957732863265,0.39150079853998765,0.29387522174951725,1.1269590151786604,0.8459378160231756,1.9659219660430818
21,33.76536006952915,47.29852895829316,46.21992048961208,115.6527513442687,0.39964393369274187,0.4089702009552503,0.29195466322299846,1.023336441457607,0.7305369570490263,1.9968530226612209
22,46.21076535561855,64.91347982115295,56.42864065935861,125.05705757497054,0.4512231596807734,0.51907090315345,0.36951745268687153,1.1503640538324247,0.818923950952105,1.6331782316777927
23,50.008942488635164,64.22537449435478,59.98619070025533,126.1873759385349,0.4753739449299131,0.5089683022304748,0.3963070165829759,1.0706693281339068,0.8336742491038409,1.6297516504301626
24,48.11551096283812,66.4682795655926,59.4027706252611,126.39589555181925,0.46997388930962086,0.5258737182517308,0.38067304917438505,1.1189424140652269,0.8099876564070051,1.621509162161813
25,49.86999686817938,65.4361719369012,58.42204491030052,123.54325025745595,0.4728873879273279,0.5296620560049744,0.4036642776052403,1.1200595945823184,0.8536160783955491,1.5781054652449678
