,delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
21,137.53279214642563,105.27627965417571,98.570918137324,223.36908804551777,0.44129167110731715,0.47131087195343113,0.6157198981731951,1.0680257589516426,1.3952674353182135,1.3258977673092216
22,86.65794792513279,101.3768723413793,95.52178078686525,210.65331341741557,0.45345491716803005,0.48124983508091385,0.41137709404749584,1.0612958793929768,0.9072061598023381,1.6282893443369797
23,84.34158637056565,95.5887319866093,94.62171938553945,206.26575843199777,0.45873692320451037,0.4634251109503628,0.40889766198577066,1.0102197741422319,0.8913554617086692,1.6722444586590093
24,85.10062142899017,96.53777097354565,93.42651136445986,200.79151037523644,0.46529114298640245,0.4807861188609876,0.42382579457645037,1.0333016781173459,0.9108830051141467,1.6198008463302647
25,83.14913743790757,94.55713320205739,93.79207659325802,198.40841473206328,0.4727222719858816,0.47657824054362913,0.4190807005347766,1.0081569428526158,0.886526244626132,1.6442891422628696
26,84.14642707572524,92.89597746706475,79.56589033977994,200.9011302561266,0.3960450109879535,0.46239648999800403,0.4188449660210866,1.1675351971851218,1.0575691004824364,1.584179910571196
27,82.64332239935904,96.52039506068644,85.1284545830141,196.61275859565598,0.43297523106364144,0.4909162342774788,0.42033550106134865,1.1338205953987257,0.9708072677246635,1.5725349818190728
28,84.89920946098464,100.04284768958772,85.49295811392665,202.69701313172374,0.42177709870035723,0.4935585687420778,0.4188478564595939,1.170188163992081,0.9930549993117469,1.5582716862017911
29,74.36074110036967,97.90870146974463,85.12423934646407,200.3360094948275,0.4249073322420446,0.488722430463868,0.3711801053034831,1.1501859190922874,0.8735554252380935,1.657056786058318
30,68.0804877355584,94.44663425202233,87.42182232192532,199.14676047787486,0.4389818951217027,0.4742564429639081,0.3418608847675538,1.0803553591485269,0.7787585059123605,1.7632046842107858
31,63.12832207403935,77.72519394107704,77.76649259711353,185.76184389532798,0.41863544722851126,0.4184131267822319,0.33983470851856173,0.9994689402253173,0.8117676388092948,1.8709390006576738
32,62.69650886814928,79.33717759759112,80.05526429613492,185.17674860189308,0.4323181225535165,0.42844027771627075,0.3385765726070661,0.9910301126995533,0.7831653473308972,1.8673880788273702
33,61.60354925749855,80.33432714423945,76.05853034262222,179.58968002180012,0.42351281172386734,0.4473215116508242,0.34302388227441905,1.0562171893455734,0.8099492454034011,1.8011274851037011
34,60.23375300230142,78.66786201570166,76.93452012355903,177.4008500478252,0.43367616391250874,0.44344692821084974,0.3395347484866228,1.0225300929850325,0.7829223202479758,1.8310468898322008
35,61.76415457934764,81.74503913205696,78.13821236251736,180.843571411143,0.4320762510538583,0.45202070769887537,0.34153359224989255,1.0461595762238065,0.7904474995255419,1.8046354876362127
36,53.706992980300726,63.15050508828371,76.10466850923447,172.59484912142915,0.4409440310451618,0.36588870067526846,0.3111737879414649,0.8297849044651063,0.7056990593656415,2.128229011754986
37,50.131299141259426,63.781120048801206,69.28352857722676,172.13213839509586,0.40250199191855673,0.3705358025728121,0.29123729948786653,0.9205812890679738,0.7235673495667972,2.119309454481213
38,49.27582869343985,64.21173524270121,70.4776211140741,174.46980904585772,0.40395310512175625,0.36803923609398675,0.2824318371351468,0.9110939646894294,0.6991698629226244,2.158363627381786
39,49.32813268506581,66.19359647574882,70.28376220493531,180.72220912746815,0.3889049527684908,0.3662726169369738,0.2729500315607219,0.9418049688737453,0.7018425186351507,2.172803100817379
40,54.003536405800745,70.12162164123359,72.21459257582075,171.75907474889323,0.42044120627335924,0.40825570202767664,0.3144144580701331,0.9710173406795909,0.7478202739854892,1.9655456731202376
41,172.70453929581117,119.9714551848911,149.25946261047892,279.0002262029144,0.5349797189838973,0.43000486708436186,0.6190121837758106,0.8037778850777423,1.1570759821540872,1.463255261413764
42,260.96999294742426,123.7208654939159,145.25177919032933,281.25781416835594,0.5164364219348736,0.43988418903042026,0.927867528655443,0.851768330712145,1.796673296548503,1.108707378924425
43,263.91870666776623,120.19233760213007,147.9256027055893,284.4308667294315,0.5200757723890264,0.4225713579689105,0.9278834948628212,0.8125188297616356,1.7841313595526365,1.1256028064926578
44,265.57468078743244,117.57644162351758,148.06091357951354,281.92314885412327,0.5251818241294025,0.4170513918470586,0.9420109056913588,0.7941085785640192,1.7936852770046579,1.1222309874182124
45,266.1901197491658,117.40386600305523,146.7982636825053,282.98622345612335,0.518747032592794,0.41487484644728134,0.940646920893088,0.799763315027866,1.8133056418492843,1.1204150823580534
46,283.74128986862223,142.88335876523172,156.5746646026932,295.8268003207109,0.5292781601698964,0.48299666767963356,0.9591466681213922,0.9125573356826084,1.812178813147154,1.0604203633617824
47,286.3266350933922,144.12004511323443,158.2181023536757,297.1256729794477,0.5324955624572357,0.4850474335255549,0.9636549821569863,0.9108947899720923,1.8096957986093574,1.057840137399934
48,285.985830497671,142.63857928587794,156.68069301337331,298.01632671589573,0.5257453332841721,0.47862672779621845,0.9596314190205638,0.9103775107358197,1.8252780543500722,1.0608285700734743
49,286.65341594133804,140.14672329574083,155.62226500600286,299.6492833121887,0.5193480300897909,0.46770251457511214,0.956629739850534,0.9005570204901908,1.8419820321358313,1.066708996702781
50,285.86884273848614,141.5701911240978,154.59583576077327,300.9046236162748,0.5137702236105213,0.47048194016664086,0.9500314063071265,0.9157438842218765,1.8491367592905223,1.0656501238571616
51,284.7807824251094,143.462273795365,155.1967985915017,300.6697772490406,0.5161702649713089,0.4771423157590502,0.947154665928493,0.9243893888106319,1.834965572805981,1.0645043024488559
52,281.0207617765812,143.85579522287554,156.09690051013808,300.91938192606267,0.5187332883346538,0.4780542692269041,0.9338739165881623,0.9215800874504391,1.8002968723797923,1.0756448547402089
53,281.2270034755145,142.61856539432824,156.46276617391425,301.50280045576756,0.5189429946832894,0.4730256739862399,0.9327508834093644,0.9115176018031175,1.797405289146685,1.0805010132601311
54,280.6232194873282,141.21469170919667,155.91315274022494,298.901018671828,0.5216213495458389,0.4724463380442351,0.9388499936677448,0.9057266127154895,1.7998688023125875,1.0781728226417402
